Season,TeamID,odds,pct,act_pct
2019,1328,75000,0.0013315579227696406,0.0010899549446354872
2019,1326,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1278,50000,0.001996007984031936,0.001633844637567367
2019,1124,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1414,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1251,200000,4.997501249375312e-4,4.0907354493815637e-4
2019,1235,4000,0.024390243902439025,0.019964784473689046
2019,1266,8000,0.012345679012345678,0.010105631647175936
2019,1153,9000,0.01098901098901099,0.008995122674958802
2019,1305,10000,0.009900990099009901,0.008104516469517336
2019,1243,10000,0.009900990099009901,0.008104516469517336
2019,1257,10000,0.009900990099009901,0.008104516469517336
2019,1458,12500,0.007936507936507936,0.006496477487470244
2019,1393,17500,0.005681818181818182,0.004650887292166199
2019,1280,20000,0.004975124378109453,0.00407241872348881
2019,1433,50000,0.001996007984031936,0.001633844637567367
2019,1388,50000,0.001996007984031936,0.001633844637567367
2019,1429,50000,0.001996007984031936,0.001633844637567367
2019,1308,50000,0.001996007984031936,0.001633844637567367
2019,1371,50000,0.001996007984031936,0.001633844637567367
2019,1279,50000,0.001996007984031936,0.001633844637567367
2019,1385,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1113,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1396,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1125,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1209,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1318,100000,9.99000999000999e-4,8.177384249962546e-4
2019,1330,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1463,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1387,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1285,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1297,150000,6.662225183211193e-4,5.453405485817795e-4
2019,1436,200000,4.997501249375312e-4,4.0907354493815637e-4
2019,1233,200000,4.997501249375312e-4,4.0907354493815637e-4
2019,1159,250000,3.9984006397441024e-4,3.2729154874900073e-4
2019,1133,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1295,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1101,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1192,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1205,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1300,500000,1.999600079984003e-4,1.636784969848532e-4
2019,1341,500000,1.999600079984003e-4,1.636784969848532e-4
2018,1437,570,0.14925373134328357,0.1283604328845998
2018,1276,1500,0.0625,0.053750931270426176
2018,1242,1450,0.06451612903225806,0.0554848322791496
2018,1260,38000,0.0026246719160104987,0.0022572569562383693
2018,1181,835,0.10695187165775401,0.09198020324351003
2018,1403,7500,0.013157894736842105,0.011315985530616036
2018,1199,32500,0.003067484662576687,0.002638082516339935
2018,1243,55000,0.0018148820326678765,0.0015608255904297982
2018,1211,2550,0.03773584905660377,0.032453392465162975
2018,1246,4400,0.022222222222222223,0.019111442229484864
2018,1345,1200,0.07692307692307693,0.06615499233283222
2018,1452,4400,0.022222222222222223,0.019111442229484864
2018,1401,23000,0.004329004329004329,0.003723008226523025
2018,1155,18000,0.0055248618784530384,0.004751463537717231
2018,1305,55000,0.0018148820326678765,0.0015608255904297982
2018,1393,130000,7.686395080707148e-4,6.610414299206909e-4
2018,1277,925,0.0975609756097561,0.08390389271481159
2018,1153,1675,0.056338028169014086,0.04845154368038416
2018,1314,1650,0.05714285714285714,0.04914370859010393
2018,1462,2450,0.0392156862745098,0.033726074522620345
2018,1397,5000,0.0196078431372549,0.016863037261310172
2018,1196,12000,0.008264462809917356,0.007107561159725775
2018,1120,8700,0.011363636363636364,0.00977289659462294
2018,1222,11000,0.009009009009009009,0.007747881984926296
2018,1325,8500,0.011627906976744186,0.010000173259614172
2018,NA,20500,0.0048543689320388345,0.004174829613236984
2018,1139,18000,0.0055248618784530384,0.004751463537717231
2018,1104,47500,0.0021008403361344537,0.0018067539922832327
2018,1348,38000,0.0026246719160104987,0.0022572569562383693
2018,1138,250000,3.9984006397441024e-4,3.4386841276562127e-4
2018,1420,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1267,300000,3.332222592469177e-4,2.865761080729153e-4
2018,1438,620,0.1388888888888889,0.1194465139342804
2018,1112,1400,0.06666666666666667,0.05733432668845458
2018,1455,5800,0.01694915254237288,0.01457652373435286
2018,1395,21500,0.004629629629629629,0.003981550464476013
2018,1274,27000,0.0036900369003690036,0.003173486717073132
2018,1400,27000,0.0036900369003690036,0.003173486717073132
2018,1290,32500,0.003067484662576687,0.002638082516339935
2018,1439,35000,0.002849002849002849,0.0024501849012160083
2018,1116,38000,0.0026246719160104987,0.0022572569562383693
2018,1326,44000,0.0022675736961451248,0.0019501471662739655
2018,1301,48500,0.00205761316872428,0.0017695779842115615
2018,1417,55000,0.0018148820326678765,0.0015608255904297982
2018,1166,55000,0.0018148820326678765,0.0015608255904297982
2018,1344,55000,0.0018148820326678765,0.0015608255904297982
